x,y,time
60,297,78
283,204,599
415,245,1251
415,245,1382
381,115,1643
462,117,2034
298,34,2294
298,34,2425
162,21,2686
11,93,2947
149,133,3208
87,196,3599
148,361,3991
297,350,4251
428,322,4512
474,194,4773
343,166,5034
276,332,5295
407,304,5556
453,176,5817
322,148,6077
211,62,6338
3,108,6860
149,260,7382
447,350,8425
299,134,8947
429,42,9599
429,42,9730
247,77,10121
247,77,10251
92,62,10512
42,210,11034
166,305,11556
189,229,11947
214,156,12077
247,350,12599
466,248,13121
255,144,13643
474,42,14165
239,41,14686
199,42,14947
160,53,15208
126,74,15469
99,103,15730
80,138,15991
72,180,16251
319,340,16773
304,124,17295
214,131,17946
214,131,18077
103,88,18338
173,55,18729
107,223,18991
107,223,19121
179,344,19383
291,261,19643
217,139,19905
293,87,20295
375,253,20686
481,366,20946
346,335,21207
266,213,21469
401,182,21730
470,350,21991
335,319,22252
255,197,22512
390,166,22773
455,340,23034
288,283,23556
418,164,24077
180,50,25121
355,135,25643
88,24,26294
88,24,26425
29,211,26816
29,211,26946
156,265,27208
308,299,27730
435,207,28251
350,223,28643
283,170,28773
189,43,29295
92,271,29817
256,268,30338
451,293,30860
420,102,31382
381,86,31643
339,86,31904
299,100,32164
267,127,32425
246,163,32686
239,204,32947
327,374,33208
121,282,33469
212,9,33991
45,27,34251
81,168,34512
314,106,34773
314,106,34904
487,187,35295
334,310,35556
220,149,35947
255,362,36338
78,278,36599
53,84,36860
53,84,36991
221,69,37251
165,148,37643
474,281,38164
484,111,38425
389,233,38686
186,323,39077
0,284,39469
173,184,39730
206,83,40121
332,236,40512
188,367,40773
312,326,41164
479,241,41556
479,241,41686
479,241,41817
263,10,42338
265,174,42599
133,115,42860
52,333,43251
284,300,43643
469,358,43903
505,126,44295
293,37,44686
212,214,44947
36,129,45208
36,129,45338
92,355,45730
92,355,45860
92,355,45991
386,217,46512
224,256,46773
153,130,47034
153,130,47164
287,49,47425
465,192,47817
385,331,48077
385,331,48208
385,331,48338
256,231,48599
29,369,49121
335,236,49643
335,236,50164
256,5,50686
163,96,50947
158,220,51208
410,316,51730
336,209,51991
360,81,52251
296,28,52773
84,139,53295
179,262,53556
277,140,53817
83,245,54338
155,366,54600
267,283,54860
193,161,55122
73,246,55382
156,376,55643
276,281,55904
190,150,56164
73,246,56425
98,68,56686
249,30,56947
354,101,57208
489,179,57469
384,250,57730
266,310,57991
48,195,58512
307,128,59034
197,29,59295
333,50,59556
431,213,59817
431,213,59947
328,339,60338
171,351,60600
46,153,60991
78,348,61382
236,217,61643
391,33,62034
465,229,62425
465,229,62556
465,229,62686
239,367,63208
322,232,63469
220,221,63730
220,221,63860
280,155,64512
366,36,64773
366,36,64904
366,36,65034
495,77,65295
338,292,65817
266,54,66338
83,167,66860
146,287,67121
124,313,67512
319,322,68164
297,348,68556
443,202,68947
443,202,69077
443,202,69208
387,81,69469
282,183,69730
282,183,69860
502,141,71034
434,53,71295
419,79,71686
344,205,72338
329,231,72729
164,358,73121
187,203,73382
66,301,73643
137,133,74034
137,133,74164
474,328,75208
205,203,76773
159,73,77034
41,92,77295
425,76,78860
483,199,79121
436,328,79382
142,184,80947
206,364,81469
167,41,82512
377,284,83556
259,223,83817
259,223,83947
139,279,84208
139,279,84338
21,239,84599
71,91,84860
71,91,84991
184,45,85251
184,45,85382
321,71,85643
321,71,85773
321,71,85904
369,184,86164
442,321,86425
442,321,86556
139,310,87208
43,185,87991
43,185,88121
117,39,88382
117,39,88512
139,183,88773
275,106,89034
275,106,89165
229,219,89425
229,219,89556
266,344,89817
419,321,90077
327,194,90338
327,194,90469
447,94,90730
447,94,90860
464,265,92164
464,265,92294
355,167,92556
355,167,92686
230,212,92946
74,131,93207
74,131,93338
143,228,93599
143,228,93730
72,299,93990
72,299,94120
71,299,94251
213,293,94511
364,329,94772
364,329,94903
404,55,95555
304,211,96338
304,211,96469
234,93,96730
234,93,96861
133,20,97121
32,172,97382
32,172,97512
137,268,97773
137,268,97903
270,200,98164
451,288,98686
451,288,98817
486,142,99077
486,142,99208
424,57,99730
326,26,100251
