x,y,time
125,33,78
89,189,338
290,157,599
241,226,860
209,362,1121
423,308,1251
331,281,1382
490,137,1643
431,59,1904
276,21,2034
141,117,2295
85,295,2425
116,208,2686
180,286,2947
202,187,3208
305,300,3338
364,113,3469
464,240,3599
305,300,3991
305,300,4056
305,300,4121
364,113,4251
209,155,4643
59,244,4773
274,234,5164
477,178,5295
295,130,5686
459,276,5817
209,154,6208
196,267,6338
33,238,6599
157,193,6860
81,314,7121
66,156,7382
195,348,7643
309,161,7904
388,220,8034
214,181,8425
404,137,8686
313,348,8947
12,289,9208
132,347,9599
28,157,9730
156,16,9991
180,96,10121
208,178,10252
431,181,10382
368,244,10773
302,182,11034
156,358,11295
145,202,11556
6,249,11817
234,207,11947
382,78,12338
382,78,12404
382,78,12469
191,36,12599
258,302,12991
80,230,13121
296,161,13512
472,189,13643
230,38,14034
170,349,14164
402,139,14556
317,60,14686
187,49,14947
66,98,15208
0,217,15469
38,354,15730
234,336,15991
311,150,16251
360,231,16382
283,65,16773
194,271,17034
162,66,17295
21,174,17556
156,155,17817
303,269,17947
362,72,18077
458,11,18338
436,184,18599
303,269,18730
436,184,18991
479,357,19121
303,269,19382
137,172,19643
9,326,19904
167,311,20164
193,102,20295
35,176,20686
35,176,20751
35,176,20817
167,311,20947
313,120,21338
468,21,21469
342,266,21860
240,42,21991
253,304,22382
26,346,22512
105,28,22904
244,54,23034
356,122,23295
465,198,23556
347,260,23817
243,341,24077
56,239,24338
227,121,24599
312,187,24730
216,31,25121
390,216,25382
139,131,25643
435,121,25904
227,211,26295
167,311,26425
139,131,26686
311,186,26816
292,355,26947
239,270,27077
499,197,27469
405,16,27730
311,186,27991
84,28,28251
144,193,28512
29,335,28643
266,351,29034
266,351,29099
266,351,29164
442,224,29295
218,172,29686
283,6,29817
273,247,30208
457,351,30338
181,263,30730
405,184,30860
170,5,31251
46,67,31382
173,118,31643
40,163,31904
166,216,32165
66,311,32425
228,372,32686
287,237,32947
343,26,33208
495,253,33469
240,327,33860
90,174,33991
106,333,34251
16,106,34512
170,18,34773
352,36,34904
394,205,35295
310,352,35556
159,273,35817
7,191,35947
248,33,36338
477,146,36599
303,117,36860
137,210,36991
458,326,37382
223,349,37512
360,164,37643
314,326,38034
119,357,38164
56,182,38425
235,14,38686
170,167,38947
333,60,39077
417,328,39469
215,247,39730
322,194,39991
204,53,40121
25,249,40512
222,335,40773
274,193,41034
446,23,41164
448,332,41556
203,240,41686
336,76,41817
87,149,42208
40,331,42338
194,194,42599
480,331,42860
457,137,43121
370,309,43251
290,124,43643
119,78,43904
195,139,44164
58,272,44295
195,139,44686
101,361,44947
270,300,45208
422,164,45338
222,367,45730
327,191,45860
142,71,45991
24,166,46251
109,303,46512
227,208,46773
142,71,47034
305,19,47164
491,259,47425
212,123,47817
325,298,47947
60,357,48077
75,251,48208
89,146,48338
325,298,48599
304,109,48860
125,37,49121
30,150,49382
244,12,49643
136,303,50164
372,355,50425
345,134,50686
471,284,50947
294,224,51208
188,13,51469
46,133,51730
185,207,51991
80,329,52251
255,356,52512
474,236,52773
318,187,53034
473,90,53295
327,34,53556
291,330,53817
145,274,54077
61,173,54338
117,28,54469
16,70,54599
159,127,54730
246,6,54860
413,34,55121
451,211,55382
395,356,55513
496,314,55643
353,257,55774
266,378,55904
99,350,56165
136,181,56425
41,56,56556
255,0,56686
225,162,56947
33,148,57078
201,255,57208
167,50,57338
404,151,57469
481,241,57730
331,348,57991
299,17,58512
138,121,58773
398,147,59034
319,199,59164
225,161,59295
308,101,59425
451,289,59556
282,348,59817
136,201,59947
70,355,60338
24,123,60599
183,98,60860
406,19,60991
194,292,61382
324,330,61643
481,323,61904
350,173,62034
402,284,62425
257,146,62556
353,24,62686
102,69,62947
343,127,63208
92,172,63469
268,287,63730
118,348,63860
256,144,64121
442,366,64512
481,178,64643
355,35,64773
396,206,65034
200,16,65295
110,262,65556
35,77,65817
110,262,66077
291,360,66338
126,58,66860
291,24,67121
372,72,67512
512,94,67904
486,261,68164
405,309,68555
262,336,68947
304,215,69077
304,215,69143
304,215,69208
181,182,69469
43,303,69730
43,303,69860
386,62,71034
238,27,71295
286,108,71686
314,251,72078
215,368,72338
167,287,72730
143,145,73121
24,292,73382
249,227,73643
249,227,73773
428,31,74164
137,35,75208
397,262,76773
411,113,77034
160,65,77295
350,221,78860
270,131,79121
137,35,79382
369,239,80947
137,35,81469
102,349,82512
160,65,83556
336,50,83817
471,163,83947
300,140,84208
365,298,84338
197,145,84599
134,359,84991
248,222,85251
211,56,85382
108,180,85643
308,125,85773
308,125,85838
308,125,85904
352,18,86164
483,156,86425
441,343,86556
37,214,87208
39,60,87730
227,25,87991
372,115,88121
290,251,88382
215,112,88512
474,283,88773
200,374,89164
160,198,89425
14,89,89556
174,7,89817
241,84,90077
148,109,90338
321,248,90469
490,26,90860
503,294,91251
350,357,91382
122,344,91773
43,219,91904
86,24,92165
154,152,92295
171,61,92556
240,123,92686
398,13,92947
456,336,93338
298,334,93599
219,208,93729
209,360,93991
75,278,94121
75,278,94186
75,278,94251
124,111,94512
190,182,94773
219,24,94904
345,337,95556
445,302,96077
486,131,96338
357,48,96468
260,150,96729
211,6,96860
197,289,97121
392,202,97512
339,368,97773
197,289,97904
17,350,98164
48,65,98425
324,93,98686
324,93,98817
294,381,99208
149,216,99599
149,216,99664
149,216,99730
218,288,100121
324,93,100251
