x,y,time
69,110,78
220,43,469
92,206,599
318,275,860
197,361,1121
388,226,1251
219,155,1382
295,56,1643
180,31,1773
388,226,1904
503,201,2034
425,113,2164
473,307,2295
271,219,2425
388,226,2556
179,295,2686
158,82,2947
257,41,3208
62,93,3338
254,153,3469
14,28,3599
121,324,3991
126,316,4056
132,309,4121
257,343,4251
366,107,4512
358,223,4643
366,107,4773
153,322,5034
134,174,5164
153,322,5295
287,35,5556
132,78,5686
287,35,5817
21,214,6077
264,250,6208
135,173,6338
173,234,6860
185,290,7382
46,152,7904
152,43,8164
291,249,8425
424,157,8556
403,267,8686
311,134,8817
276,263,8947
443,151,9208
163,252,9469
237,150,9599
163,48,9730
43,213,9860
237,150,9991
43,87,10121
163,252,10251
163,48,10382
166,273,10512
318,188,10773
466,273,11034
119,166,11295
67,268,11556
77,70,11686
182,293,11817
14,172,11947
328,65,12338
320,60,12404
312,54,12469
473,150,12599
289,211,12860
479,262,12991
298,311,13121
111,362,13382
137,178,13512
222,362,13643
248,17,13904
306,218,14034
353,12,14164
25,131,14425
216,104,14556
123,45,14686
212,182,15208
304,259,15730
396,51,16251
314,126,16382
503,110,16512
277,19,16643
244,206,16773
193,103,17164
114,254,17295
228,338,17556
405,57,17817
476,137,17947
370,155,18077
136,29,18338
13,173,18469
198,208,18599
101,130,18730
297,333,18991
364,228,19121
189,303,19251
423,341,19382
424,115,19643
192,145,19904
277,44,20034
291,232,20164
131,101,20295
94,212,20686
85,213,20751
76,216,20817
287,330,20947
225,232,21208
225,232,21338
438,233,21469
467,340,21730
467,340,21860
259,158,21991
475,134,22251
475,134,22382
158,160,22512
364,221,22773
364,221,22904
187,339,23034
364,221,23556
222,152,24077
53,61,24599
139,104,24860
237,335,25121
311,243,25251
129,285,25382
364,353,25512
320,135,25643
469,203,25904
253,48,26164
378,214,26295
396,65,26425
230,190,26556
238,37,26686
71,132,26947
248,199,27077
112,264,27208
327,288,27469
428,361,27730
468,195,27860
301,180,27991
497,289,28121
403,131,28251
489,76,28512
364,319,28643
134,83,29034
142,82,29099
150,79,29164
29,194,29295
29,194,29425
162,213,29556
346,369,29817
346,369,29947
394,249,30077
216,46,30338
216,46,30469
122,121,30599
507,207,30860
507,207,30991
435,114,31121
295,336,31382
236,182,32425
329,101,32947
219,42,33077
346,201,33208
407,17,33338
487,292,33469
156,229,33860
301,133,33991
166,108,34251
227,217,34512
323,99,34904
422,65,35295
207,107,35425
447,199,35556
118,362,35947
204,181,36338
30,305,36469
0,105,36599
230,314,36991
166,186,37382
331,304,37512
350,42,37643
405,216,37904
216,170,38164
328,144,38425
328,144,38556
122,138,38686
47,275,39077
478,299,39469
276,343,39599
379,375,39730
185,53,40121
207,168,40512
207,168,40643
373,268,40773
138,295,41164
156,36,41556
99,209,41686
187,119,41817
337,157,42077
245,233,42338
450,190,42469
366,311,42599
366,311,42730
156,149,42860
330,324,43251
245,233,43643
245,233,43773
416,95,43904
141,124,44295
323,51,44686
178,220,44817
24,144,44947
58,260,45208
324,169,45338
176,361,45730
205,226,45860
62,339,45991
424,243,46382
318,92,46512
156,123,46773
20,101,47034
224,195,47164
74,213,47295
241,58,47425
274,290,47817
324,214,48077
73,294,48208
387,334,48338
237,14,48599
205,216,48730
115,98,48860
318,130,48991
90,101,49121
257,254,49382
419,154,49643
372,36,49904
12,104,50164
173,127,50556
152,333,50686
276,75,50947
336,334,51208
383,231,51599
485,145,51730
255,208,51860
507,289,51991
332,102,52121
297,326,52251
42,215,52512
419,60,52773
332,102,52904
411,152,53034
336,8,53164
248,170,53295
46,233,53556
363,258,53817
176,328,53947
350,119,54077
381,362,54208
229,148,54338
