x,y,time
50,148,78
266,290,469
158,194,599
382,221,730
135,307,860
211,366,1121
258,146,1251
456,268,1382
231,42,1643
324,254,1773
319,114,1904
213,321,2034
21,183,2295
254,259,2425
21,335,2556
166,137,2686
166,383,2817
64,76,2947
290,143,3077
113,313,3208
190,48,3469
337,246,3599
486,97,3991
447,43,4056
383,64,4121
383,130,4186
447,150,4251
231,252,4512
419,244,4643
141,169,4773
316,96,5034
99,69,5164
418,163,5295
237,283,5556
211,51,5686
159,346,5817
311,27,6077
145,250,6208
47,101,6338
71,128,6860
90,165,7382
412,120,7904
274,307,8034
288,109,8164
397,313,8295
429,112,8425
164,120,8686
42,57,8947
178,251,9077
198,15,9208
37,196,9338
279,134,9469
57,367,9730
395,166,9991
265,335,10121
88,197,10251
415,293,10382
11,251,10512
211,24,10773
319,276,11034
321,73,11164
104,264,11295
319,174,11425
318,375,11556
209,227,11686
425,321,11817
26,355,11947
354,80,12338
418,101,12404
418,169,12469
354,190,12534
312,134,12599
259,231,12860
266,35,12991
181,309,13121
362,228,13382
107,254,13512
479,294,13643
134,110,13904
381,124,14034
24,43,14164
246,304,14425
271,18,14556
148,224,14686
247,215,15208
242,165,15730
169,116,16251
158,355,16382
318,121,16512
307,360,16643
105,54,16773
416,167,17164
197,224,17295
326,267,17556
104,305,17817
264,149,17947
190,362,18077
21,253,18208
362,173,18338
211,252,18469
211,69,18599
322,276,18730
476,93,18991
264,141,19121
505,222,19251
253,33,19382
372,284,19643
194,215,19904
372,67,20034
281,324,20164
42,169,20295
440,340,20686
376,318,20751
376,248,20817
440,227,20882
481,284,20947
234,204,21208
428,144,21338
322,23,21469
268,312,21730
192,92,21860
0,211,21991
401,198,22251
107,142,22382
255,343,22512
362,40,22773
344,330,22904
34,82,23034
152,248,23556
109,134,24077
107,207,24599
270,99,24730
12,131,24860
381,180,24991
179,36,25121
388,73,25512
87,206,25643
370,263,25904
419,346,26164
323,81,26295
192,179,26425
487,186,26556
227,6,26686
211,335,26947
19,210,27077
331,299,27338
356,103,27469
218,231,27599
453,80,27730
257,121,27860
383,214,27991
334,21,28121
307,291,28251
356,103,28382
159,158,28512
438,355,28643
257,321,29034
193,299,29099
193,231,29164
257,210,29230
297,266,29295
48,175,29556
