x,y,time
180,132,78
332,252,338
320,88,599
192,296,860
0,224,1121
144,384,1251
256,192,1382
192,88,1643
368,192,1773
256,296,1904
288,24,2034
448,96,2164
448,96,2295
376,296,2686
312,376,2947
352,192,3077
200,280,3208
376,296,3338
392,120,3469
216,104,3599
288,24,3991
262,21,4056
237,18,4121
212,15,4186
187,12,4251
176,104,4512
48,136,4643
352,112,4773
400,192,5034
256,128,5164
192,312,5295
320,240,5556
256,376,5686
320,128,5817
192,56,6077
256,192,6208
448,88,6338
448,88,7121
448,88,7382
256,320,8034
368,280,8164
320,384,8295
304,160,8425
216,256,8686
144,128,8947
56,272,9208
216,256,9469
144,128,9599
160,352,9730
488,288,9991
288,240,10121
400,384,10251
360,104,10382
288,240,10512
408,0,10643
440,96,10773
472,192,10904
288,240,11034
312,144,11164
192,24,11295
224,120,11425
176,280,11556
8,192,11817
280,216,11947
144,160,12338
152,136,12404
160,112,12469
168,88,12534
176,64,12599
80,192,12860
256,112,12991
432,192,13121
256,280,13382
440,376,13512
472,96,13643
152,192,13904
328,344,14034
288,128,14164
136,72,14425
376,200,14556
256,376,14686
256,376,15469
256,376,15730
256,288,16382
160,272,16512
64,256,16643
256,179,16773
8,160,17034
168,360,17295
256,32,17556
480,56,17817
256,128,17947
368,136,18338
184,32,18469
256,216,18599
328,32,18730
104,216,18860
256,312,18991
152,328,19382
256,216,19512
248,384,19643
192,152,19773
360,224,19904
256,80,20164
152,328,20295
208,192,20686
184,200,20751
160,208,20817
136,216,20882
112,224,20947
304,112,21208
200,288,21338
400,224,21469
208,112,21730
312,288,21860
72,208,21991
320,96,22251
184,304,22382
440,208,22512
192,96,22773
328,304,22904
256,24,23034
256,24,23817
256,24,24077
472,192,24730
416,120,24860
512,96,24991
384,240,25121
336,336,25382
16,88,25643
64,184,25904
256,88,26164
128,264,26295
352,144,26425
256,192,26686
464,128,26817
368,240,26947
416,16,27077
456,256,27208
336,384,27338
464,344,27730
256,192,27860
224,352,27991
400,184,28121
136,88,28251
0,296,28512
256,192,28643
48,207,29034
73,203,29099
98,200,29164
123,196,29230
147,193,29295
48,344,29556
256,304,29686
216,152,29817
315,1,30077
112,72,30208
320,112,30338
256,304,30599
464,256,30730
184,248,30860
360,376,31121
256,48,31252
88,192,31382
424,192,31904
256,208,32425
256,0,33077
328,144,33208
256,0,33338
72,160,33469
496,40,33730
148,32,33991
210,247,34121
256,80,34251
32,192,34382
210,247,34512
480,192,34773
256,80,34904
376,304,35034
352,152,35164
256,368,35295
504,336,35425
435,108,35556
184,136,35817
376,304,35947
352,152,36077
256,336,36208
424,232,36338
256,80,36469
88,232,36599
256,336,36860
136,136,36991
24,384,37121
256,336,37251
0,176,37382
256,336,37512
368,136,37643
144,248,37904
360,368,38164
152,16,38425
306,261,38686
179,152,38947
256,384,39077
448,192,39208
256,192,39338
368,328,39469
400,88,39599
206,123,39730
333,232,39991
256,0,40121
64,192,40251
256,192,40382
144,56,40512
180,336,40643
400,176,40773
256,104,41034
512,40,41164
400,176,41295
