x,y,time
212,192,78
300,192,338
124,192,599
212,192,860
188,104,1251
276,80,1382
492,182,1643
341,143,1773
451,32,1904
405,206,2034
107,206,2295
61,32,2425
171,143,2556
20,182,2686
149,56,2817
193,230,2947
20,182,3208
256,296,3469
321,103,3599
263,303,3991
263,303,4056
263,303,4121
400,324,4251
112,324,4512
424,236,4773
88,236,5034
448,148,5295
64,148,5556
472,60,5817
40,60,6077
256,164,6338
192,228,6599
256,292,6860
320,228,7121
256,72,7382
128,292,7643
384,292,7904
407,204,8034
320,228,8164
233,252,8295
256,164,8425
192,100,8686
146,275,8947
41,140,9208
256,340,9599
344,316,9730
474,117,9991
366,228,10121
411,55,10251
452,204,10381
209,165,10643
60,204,10773
101,55,10903
146,228,11033
38,117,11163
187,78,11295
317,275,11556
295,188,11817
339,362,11947
146,228,12338
146,228,12404
146,228,12469
208,52,12599
88,138,12860
304,52,13121
423,138,13382
327,241,13643
400,328,13903
88,241,14164
208,328,14425
256,64,14686
192,128,14947
256,192,15208
320,128,15469
100,128,15730
412,128,15991
212,192,16251
185,275,16382
256,328,16512
327,275,16643
300,192,16773
212,192,17034
388,192,17295
300,192,17556
324,104,17947
236,80,18078
20,182,18339
171,143,18469
61,32,18600
107,206,18730
405,206,18991
451,32,19121
341,143,19252
492,182,19382
363,56,19513
319,230,19643
492,182,19904
256,296,20165
191,103,20295
264,304,20687
264,304,20752
264,304,20817
112,324,20947
400,324,21208
88,236,21469
424,236,21730
64,148,21991
448,148,22252
40,60,22513
472,60,22773
256,164,23034
320,228,23295
256,292,23556
192,228,23817
256,72,24078
384,292,24339
128,292,24600
105,204,24730
192,228,24860
279,252,24991
256,164,25121
320,100,25382
366,275,25643
471,140,25904
256,340,26295
168,316,26426
38,117,26687
146,228,26817
101,55,26947
60,204,27077
303,165,27339
452,204,27469
411,55,27599
366,228,27729
474,117,27859
325,78,27991
195,275,28252
217,188,28513
173,362,28643
366,228,29034
366,228,29100
366,228,29165
304,52,29295
423,138,29556
208,52,29817
88,138,30078
184,241,30339
112,328,30599
423,241,30860
304,328,31121
256,64,31382
320,128,31643
256,192,31904
192,128,32165
412,128,32426
100,128,32687
300,192,32947
256,328,33077
212,192,33208
327,275,33338
185,275,33469
415,109,33730
126,210,33991
157,358,34251
212,192,34382
17,143,34512
495,241,34904
229,295,35295
229,295,35425
105,124,35556
406,259,35947
193,106,36338
194,106,36599
318,278,36991
495,241,37251
255,209,37382
432,172,37512
230,296,37643
461,83,37904
112,160,38164
139,316,38425
19,173,38556
268,124,38686
243,259,39077
498,347,39469
498,347,39599
435,83,39730
76,300,40121
98,65,40512
413,318,40773
98,65,41164
268,124,41425
478,216,41556
419,65,41686
327,275,41817
13,36,42077
386,210,42339
355,358,42599
300,192,42730
495,143,42860
17,241,43252
283,295,43643
283,295,43773
407,124,43904
106,259,44295
319,106,44686
318,106,44947
194,278,45339
17,241,45599
257,209,45730
80,172,45860
282,296,45991
51,83,46252
345,232,46512
282,296,46773
431,254,47034
494,190,47164
169,194,47425
407,167,47817
258,209,47947
431,254,48077
494,190,48208
470,103,48338
383,253,48599
168,103,48860
318,189,49121
232,339,49382
57,165,49643
318,189,50034
144,189,50164
377,54,50425
377,54,50686
359,290,50947
311,116,51208
0,133,51469
135,330,51730
153,94,51991
223,353,52251
23,220,52512
198,266,52773
153,94,53034
359,290,53295
314,118,53556
288,30,53817
489,164,54077
314,118,54338
338,204,54469
425,226,54599
377,54,54730
251,182,54860
401,140,54991
289,31,55121
198,266,55382
173,179,55513
87,158,55643
135,330,55774
261,202,55904
111,244,56035
222,352,56165
151,91,56425
344,224,56686
447,7,56947
409,158,57077
298,50,57208
433,244,57469
344,224,57599
257,251,57730
195,318,57860
168,231,57991
132,384,58382
282,296,58512
51,83,58773
400,160,59033
373,316,59294
493,173,59425
244,124,59556
269,259,59947
14,347,60338
14,347,60468
77,83,60599
436,300,60990
414,65,61381
99,318,61643
414,65,62033
244,124,62295
34,216,62426
93,65,62556
185,275,62687
461,83,62947
167,232,63207
230,296,63468
81,254,63729
18,190,63860
342,194,64121
105,167,64512
254,209,64642
81,254,64772
18,190,64903
42,103,65034
129,253,65295
344,103,65555
194,189,65817
280,339,66077
376,16,66338
175,108,67121
151,192,67251
31,68,67512
7,152,67643
256,296,68164
232,212,68295
112,336,68556
88,252,68686
115,46,68947
199,70,69077
199,70,69143
199,70,69208
172,273,69469
91,130,69730
175,154,69860
337,108,71295
361,192,71425
481,68,71686
504,151,71817
256,296,72338
280,212,72469
400,336,72730
424,252,72860
397,46,73121
340,273,73382
172,272,73642
196,188,73773
421,130,74034
337,154,74164
80,48,75208
177,315,76773
243,241,76904
269,143,77034
335,69,77165
432,48,77295
335,315,78860
269,241,78991
243,143,79121
177,69,79252
80,48,79382
177,315,80947
240,48,81469
272,336,82512
256,192,83556
34,17,83817
58,104,83947
279,279,84208
343,216,84338
169,215,84599
410,108,84860
347,44,84991
394,263,85251
472,218,85382
449,53,85643
322,129,85773
322,129,85838
322,129,85904
383,340,86164
63,53,86425
189,129,86556
117,333,87143
106,323,87208
98,311,87273
93,298,87338
91,284,87403
91,269,87469
96,256,87534
103,243,87599
113,233,87664
125,225,87730
322,358,87991
299,272,88121
402,55,88382
426,145,88512
188,161,88773
55,358,89034
78,272,89164
276,136,89425
341,201,89556
141,334,89817
60,34,90077
78,272,90338
228,231,90469
451,34,90730
410,185,90860
232,105,91773
256,192,91904
478,17,92165
454,104,92295
233,279,92556
169,216,92686
343,215,92947
102,108,93208
165,44,93338
118,263,93599
40,218,93730
63,53,93991
190,129,94121
190,129,94186
190,129,94252
129,340,94512
449,53,94773
323,129,94904
395,333,95491
406,323,95556
414,311,95621
419,298,95686
421,284,95751
421,269,95817
416,256,95882
409,243,95947
399,233,96012
387,225,96078
190,358,96339
213,272,96469
110,55,96730
86,145,96860
323,161,97121
457,358,97382
434,272,97512
236,136,97773
171,201,97903
371,334,98165
451,34,98425
434,272,98686
284,231,98817
60,34,99078
101,185,99208
373,324,99599
373,324,99664
373,324,99730
256,80,100251
