x,y,time
384,21,78
348,274,469
433,253,599
408,384,860
153,311,1251
263,251,1382
229,57,1643
396,105,1904
288,166,2034
239,336,2295
348,230,2425
177,271,2686
117,208,2947
202,187,3208
161,15,3469
267,80,3599
32,184,3991
32,184,4056
32,184,4121
90,292,4251
181,101,4643
288,166,4773
413,362,5164
393,231,5295
267,80,5686
202,186,5817
147,102,6208
222,271,6338
393,231,6599
202,186,6860
414,316,7121
372,146,7382
243,356,7643
287,165,7904
308,251,8034
372,146,8425
202,139,8686
266,79,8947
54,174,9208
99,28,9599
99,28,9730
74,258,9991
157,285,10121
223,226,10252
306,253,10382
455,221,10773
390,280,11034
206,140,11295
438,135,11556
338,22,11817
289,167,11947
122,112,12338
122,112,12404
122,112,12469
51,214,12599
107,25,12991
209,97,13121
163,350,13512
235,248,13643
194,10,14034
295,81,14164
39,81,14556
178,181,14686
194,10,14947
39,81,15208
209,97,15469
69,0,15730
54,168,15991
150,30,16251
209,97,16382
83,84,16773
288,216,17164
244,293,17295
393,285,17556
341,26,17947
271,129,18077
218,319,18338
393,285,18599
288,216,18730
254,42,18991
103,71,19121
139,245,19382
271,129,19643
240,361,19903
52,264,20164
121,159,20295
357,110,20686
357,110,20751
357,110,20817
253,43,20947
260,299,21338
205,187,21469
19,45,21860
149,75,21991
148,354,22382
276,285,22512
508,276,22904
424,113,23034
262,197,23295
439,202,23556
276,285,23817
453,290,24077
262,197,24338
439,202,24599
370,260,24730
276,285,25121
213,83,25382
38,105,25643
300,73,25904
38,105,26295
38,105,26425
231,236,26686
178,165,26816
90,175,26946
54,256,27077
319,226,27469
214,84,27730
38,105,27991
231,236,28251
354,145,28512
369,294,28643
144,247,29034
144,247,29099
144,247,29164
220,149,29295
460,122,29686
439,245,29817
417,3,30208
298,45,30338
323,312,30730
207,357,30860
394,263,31251
388,173,31382
244,275,31643
214,80,31904
316,224,32165
409,50,32425
265,152,32686
439,245,32947
388,173,33077
337,101,33208
286,29,33338
265,152,33469
252,362,33860
403,349,33991
404,217,34252
177,159,34512
317,81,34773
403,216,34904
140,239,35295
126,87,35556
140,239,35817
265,152,35947
39,93,36338
228,231,36599
52,245,36860
176,159,36991
241,384,37382
366,296,37512
228,231,37643
468,209,38034
424,93,38164
506,129,38425
315,223,38686
424,93,38947
286,29,39077
475,295,39469
316,223,39730
402,346,39991
468,208,40121
250,362,40512
156,148,40773
4,163,41034
149,60,41164
91,288,41556
243,274,41686
156,148,41817
403,215,42208
315,90,42338
467,76,42599
332,265,42860
394,127,43121
483,251,43251
242,141,43643
169,192,43904
323,177,44164
259,317,44295
157,105,44686
80,68,44947
234,53,45208
169,192,45338
306,2,45730
242,141,45860
394,127,45991
162,104,46251
332,265,46512
100,242,46773
162,104,47034
90,154,47165
154,15,47425
328,264,47817
320,176,47947
313,89,48077
162,104,48338
413,301,48599
320,176,48860
10,117,49121
170,191,49382
313,89,49643
178,279,50164
320,176,50425
162,103,50686
261,315,50947
313,89,51208
154,15,51469
10,117,51730
104,329,51991
82,66,52251
162,103,52381
234,52,52512
97,241,52773
154,15,53034
250,228,53295
170,191,53425
178,279,53556
330,264,53817
387,38,54077
315,89,54208
234,52,54338
23,37,54599
73,109,54729
73,109,54795
72,109,54860
315,89,55121
330,264,55382
403,81,55643
483,118,55773
483,118,55838
483,118,55904
403,81,56164
250,228,56425
170,191,56556
242,140,56686
90,154,56947
170,191,57078
98,242,57208
258,316,57469
250,228,57599
170,191,57730
162,103,57860
234,52,57991
330,265,58251
475,164,58512
339,350,58773
393,126,59034
322,177,59164
242,140,59295
250,228,59426
212,308,59556
154,148,59817
280,60,59947
83,199,60338
162,236,60599
12,250,60860
76,111,60991
330,265,61382
257,315,61643
409,302,61904
322,177,62034
18,337,62425
169,325,62556
83,199,62686
225,97,62947
330,265,63208
162,236,63469
12,250,63730
5,162,63860
154,148,64121
5,162,64512
83,199,64643
12,250,64773
97,374,65034
83,199,65295
241,274,65556
67,289,65817
241,274,66077
52,113,66338
131,16,66860
139,104,67121
139,104,67251
147,192,67513
147,192,67643
67,288,67904
155,280,68165
155,280,68295
243,272,68557
243,272,68687
339,352,68947
331,264,69077
331,264,69143
331,264,69208
162,234,69469
293,344,69730
293,344,69860
75,376,71034
67,288,71295
67,288,71425
59,200,71686
59,200,71817
139,104,72077
147,192,72338
147,192,72468
155,280,72729
155,280,72860
251,360,73121
191,199,73382
323,309,73643
323,309,73773
191,199,74164
251,360,75208
78,43,76903
130,38,77033
159,79,77164
138,126,77295
154,281,78077
154,281,78208
174,47,78860
315,108,79121
191,199,79382
417,252,80947
315,108,81469
417,252,82512
138,126,83556
401,102,83947
189,198,84208
239,270,84338
226,118,84599
114,357,84991
276,190,85251
327,262,85382
503,247,85643
452,175,85773
452,175,85838
452,175,85904
263,38,86164
239,270,86425
363,182,86556
326,261,87208
276,190,87338
159,233,87469
166,319,87599
289,342,87730
109,161,88121
326,261,88382
276,190,88512
166,319,88773
463,324,89164
402,103,89425
364,182,89556
138,125,89817
314,113,90078
151,278,90338
289,342,90469
49,132,90860
151,278,91251
138,125,91382
238,269,91773
363,181,91904
86,54,92294
260,147,92556
138,125,92686
115,357,92947
363,181,93338
196,286,93599
276,190,93729
86,54,93991
27,125,94121
27,125,94186
27,125,94251
115,357,94512
206,373,94773
206,373,94904
261,35,95556
170,21,95686
86,54,95817
138,125,95947
188,198,96077
419,216,96469
491,164,96730
500,252,96861
349,268,97121
429,303,97512
268,233,97773
339,181,97904
278,321,98164
28,238,98425
259,146,98686
259,146,98817
35,124,99208
181,109,99599
147,135,99664
113,161,99730
190,202,100121
41,295,100251
