x,y,time
64,184,78
112,264,469
196,112,599
112,264,860
148,188,1121
296,292,1251
296,292,1382
58,180,1643
296,292,1904
124,352,2034
244,168,2164
254,371,2295
254,371,2425
344,219,2686
244,168,2947
356,112,3077
444,200,3208
356,112,3469
244,168,3599
200,100,3991
200,100,4056
200,100,4121
112,240,4251
112,240,4382
28,92,4512
160,312,4773
160,312,4904
327,217,5034
408,164,5295
408,164,5426
509,342,5556
360,84,5817
360,84,5948
169,192,6078
72,247,6338
12,168,6599
28,64,6860
128,20,7121
128,20,7382
228,64,7643
244,168,7904
176,248,8034
72,247,8164
12,168,8295
128,20,8425
316,104,8686
428,48,8817
468,192,8947
318,192,9208
368,276,9469
236,344,9599
236,344,9730
228,182,9991
146,334,10251
112,220,10382
228,182,10512
116,92,10643
228,182,11034
420,120,11295
328,68,11425
292,272,11556
317,172,11817
160,364,11947
317,172,12338
317,172,12404
317,172,12469
268,352,12599
202,281,12730
141,212,12860
416,148,13121
387,240,13252
358,328,13382
154,110,13643
249,88,13774
347,68,13904
90,313,14164
122,212,14295
154,110,14425
358,328,14686
440,260,14947
448,148,15208
388,52,15469
388,52,15730
448,148,15991
440,260,16251
358,328,16382
252,304,16512
152,356,16643
63,255,16773
140,4,17164
272,112,17295
184,264,17556
236,16,17817
376,176,17947
376,176,18077
169,176,18338
270,248,18599
192,344,18730
97,272,18860
270,248,18991
270,248,19121
97,272,19382
192,344,19643
169,176,19773
0,384,19904
270,248,20164
100,120,20295
169,176,20686
169,176,20751
169,176,20817
0,232,20947
0,232,21077
136,348,21208
44,360,21469
44,360,21599
169,176,21730
80,172,21991
80,172,22121
225,341,22252
136,348,22512
136,348,22642
267,183,22773
172,240,23034
80,172,23295
177,112,23556
267,183,23817
267,183,24077
356,254,24338
454,193,24599
362,126,24730
267,183,24860
172,240,24991
17,80,25121
94,160,25251
172,240,25382
267,183,25643
362,126,25773
440,192,26164
276,272,26295
276,272,26425
104,70,26686
162,329,26947
276,272,27077
376,352,27208
424,172,27338
424,172,27469
180,228,27730
308,32,27991
276,272,28251
192,340,28382
96,296,28512
155,141,28643
212,52,29034
212,52,29099
212,52,29164
272,236,29295
272,236,29425
388,64,29556
423,335,29817
423,335,29948
333,149,30078
172,228,30338
172,228,30469
378,243,30599
388,64,30860
388,64,30991
272,234,31121
224,144,31382
206,138,31643
200,122,31904
207,107,32164
224,103,32425
238,115,32686
237,132,32947
112,104,33077
284,40,33208
248,220,33338
56,172,33469
284,40,33860
156,190,33991
284,40,34251
308,280,34512
284,40,34773
16,108,34904
68,44,35295
168,176,35425
68,316,35556
213,112,35817
328,235,35947
264,24,36338
116,140,36599
228,200,36860
132,296,36991
228,200,37251
352,288,37382
448,172,37512
321,74,37643
228,200,38034
432,65,38164
243,306,38425
420,348,38686
148,268,38947
252,76,39077
188,372,39469
104,164,39730
344,244,39991
168,80,40121
211,174,40512
328,36,40773
168,80,41034
284,236,41164
64,64,41425
211,174,41556
328,36,41686
116,164,41817
112,344,42208
211,174,42338
160,260,42599
324,192,42730
204,66,42860
16,160,43121
197,351,43251
55,268,43643
311,72,43904
68,56,44164
210,173,44295
300,286,44686
67,160,44947
168,0,45208
300,181,45338
192,116,45599
392,104,45730
300,285,45991
380,228,46251
128,356,46512
192,277,46904
132,91,47034
300,284,47295
128,356,47425
328,176,47817
192,277,47947
231,114,48077
432,144,48338
242,340,48599
192,277,48991
328,372,49121
95,253,49382
192,277,49643
92,148,50034
312,164,50164
352,76,50556
452,228,50686
313,252,50947
356,348,51208
196,144,51599
313,252,51730
440,156,51860
320,52,51991
112,244,52251
300,156,52512
230,48,52643
201,240,52773
396,192,53034
308,272,53295
400,304,53425
488,252,53556
492,148,53686
320,16,53817
199,306,54077
60,56,54338
120,140,54469
186,218,54599
252,296,54730
116,352,54860
187,265,54991
260,180,55121
328,88,55252
188,28,55382
258,128,55513
340,216,55643
424,332,55773
433,300,55839
441,269,55904
452,239,55969
460,208,56034
343,242,56164
260,154,56295
400,40,56425
212,260,56686
160,364,57077
212,260,57208
260,154,57338
32,240,57469
323,217,57730
84,132,57991
188,84,58382
156,344,58512
259,153,58904
121,251,59034
16,192,59295
24,300,59425
104,152,59556
16,192,59817
210,258,59947
236,68,60338
432,216,60599
396,28,60860
210,258,60991
236,68,61382
336,163,61643
210,258,61904
320,376,62034
208,144,62295
136,308,62425
321,287,62556
208,144,62686
46,296,62947
264,216,63208
127,218,63599
318,287,63730
488,340,63991
264,216,64121
352,188,64512
216,28,64773
216,28,64904
216,28,65034
116,88,65295
72,320,65686
180,364,65817
368,316,66077
260,360,66338
156,40,66860
120,152,67382
241,119,67904
362,152,68425
326,40,68947
241,119,69078
241,119,69143
241,119,69208
362,152,69339
264,248,69469
28,280,69860
31,98,69991
120,236,71034
208,296,71556
320,276,72077
360,176,72599
280,104,73121
360,176,73382
280,252,73643
280,252,73773
336,356,74034
336,356,74164
156,346,75208
160,324,75338
76,280,75469
71,258,75599
156,192,75860
151,170,75990
256,56,76251
252,78,76381
336,122,76512
340,144,76642
256,210,76903
261,232,77033
208,360,77295
116,324,77425
116,324,77491
116,324,77556
32,376,77686
32,268,77817
116,324,78208
289,224,78338
116,324,78991
